lead_id,family,form,inscription,site,scribe,object_type,local_context,numeric_or_logographic_context,evidence_tier,status,notes
21F-TU,bare,*21F-TU,HT94b,Haghia Triada,HT Scribe 9,tablet,"after DE-ME-TE 1","1",A,survives,"secure bare form; same scribe also writes extended form"
21F-TU,extended,*21F-TU-NE,HT87,Haghia Triada,HT Scribe 9,tablet,"header-like before MA-KA-RI-TE","no immediate numeral",A,survives,"same-scribe anti-orthography control"
21F-TU,extended,*21F-TU-NE,HT7b,Haghia Triada,HT Scribe 11,tablet,"first entry; DA-RU-*329 2 follows","1",A,survives,"cross-scribe replication"
KUPA3,bare,KU-PA3,HT101,Haghia Triada,HT Scribe 2,tablet,"KU-PA3 OLE+U 2","OLE+U; 2",B,reclassified,"likely onomastic/lexical family"
KUPA3,extended,KU-PA3-NU,HT117a,Haghia Triada,HT Scribe 9,tablet,"MA-RU 1 / KU-PA3-NU 1 / TU-JU-MA 1","1",A,reclassified,"probable personal-name material"
KUPA3,extended,KU-PA3-NU,HT88,Haghia Triada,HT Scribe 7,tablet,"KA-JU 1 / KU-PA3-NU 1 / PA-JA-RE 1","1",A,reclassified,"same tablet also has KU-PA3-PA3"
KUPA3,extended,KU-PA3-NU,HT1,Haghia Triada,HT Scribe 21,tablet,"DI-DI-ZA-KE 52 / KU-PA3-NU 109 / A-RA-NA-RE 105","109",A,reclassified,"cross-scribe onomastic support"
KUPA3,extended,KU-PA3-PA3,HT88,Haghia Triada,HT Scribe 7,tablet,"KI-RO / KU-PA3-PA3 1 / KA-JU 1","1",A,reclassified,"distinct family form under same scribe as -NU"
KUPA3,extended,KU-PA3-NA-TU,HT119,Haghia Triada,HT Scribe 9,tablet,"KO-JA 10 / KU-PA3-NA-TU 7 / TI 7","7",A,reclassified,"Linear B personal-name parallel reported in scholarship"
KUPA3,extended,KU-PA3-RI-JA,HT24a,Haghia Triada,unknown,tablet,"initial word before KI-MA-RU","lexical/logographic context",B,reclassified,"secure family form; scribe unavailable"
DAKU,bare,DA-KU,SEZf1,Selakanos,unknown,bronze double axe,"entire inscription","none",B,context-limited,"shows DA-KU can stand alone; genre mismatch"
DAKU,extended,DA-KU-NA,HT103,Haghia Triada,HT Scribe 3,tablet,"*188 13 / DA-KU-NA 1 / DA-KU-SE-NE 1","1",A,survives,"same-tablet controlled family"
DAKU,extended,DA-KU-SE-NE,HT103,Haghia Triada,HT Scribe 3,tablet,"PA3 / form 6.5 and later form 1","6.5 or 1",A,survives,"same-scribe recurring form"
DAKU,extended,DA-KU-SE-NE-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"first of three parallel -TI entries","45.5",A,survives,"raw transcription corrects derived layer; strongest TI lead"
TI,parallel,I-DU-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"second of three parallel -TI entries","20.5",A,survives,"supports final TI distribution"
TI,parallel,PA-DA-SU-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"third of three parallel -TI entries","29",A,survives,"supports final TI distribution"
